title,genre,score,synopsis
Maude,Comedy,7.3,"This ""All In The Family"" spin-off centers around Edith's cousin, Maude Findlay. She's a liberal, independent woman living in Tuckahoe, New York with her fourth husband Walter, owner of Findlay's Friendly Appliances; Carol Traynor, her divorced daughter from her second marriage; and Carol's son Philip. Other characters included: Dr. Arthur Harmon, Walter's conservative best friend from their Army days--he and Maude were always at odds about politics and just about everything; and Vivian Cavender-Harmon, Maude's naive best friend from their college days who married Harmon in season three. During the show's run, Maude went through three maids: Florida Evans, Nell Naugutuck, and Victoria Butterfield; but Florida and Mrs. Naugutuck were the most memorable. Although it was a situation comedy, it dealt with serious and often controversial issues, much like Norman Lear's other shows ""All In The Family"", ""One Day At a Time"", and ""Good Times."""
The Alfred Hitchcock Hour,"Crime, Drama, Horror",8.5,"A continuation of the dramatic anthology series hosted by the Master of Suspense and Mystery. When the series Alfred Hitchcock Presents was revived in 1962, the name was changed, but the format stayed fairly true to the original. In each episode, viewers would be strung along with the story, never knowing which way the final twist would turn."
Umbre,"Crime, Drama, Thriller",8.7,"Relu is a family man. He has two children, a wife, and a double life. Seen through the eyes of his family, Relu Oncescu appears to be an ordinary taxi driver. No one suspects that Relu works as a collector for Capitanu, a local mobster. Neither of the two worlds (his family and the mafia) knows of the other's existence. Relu manages to keep everything under control, but not for long. After accidentally killing a man, he tries to get out of the underworld, but he can't find his way back. Day by day, the secrets he keeps become increasingly oppressive and the lies begin to surface, one by one."
Beforeigners,"Crime, Drama, Sci-Fi",7.8,"A few years after people from the past inexplicably began appearing in the ocean, Alfhildr - who comes from the Viking Age - is teamed up with burned-out Oslo police officer Lars Haaland as part of the police department's integration program. While investigating the murder of a woman with Stone Age tattoos, Lars and Alfhildr make some chilling, unexpected discoveries."
The League of Gentlemen,"Comedy, Horror",8.4,"An interweaving narrative chronicling the antics of such diverse characters as: a transgender taxi driver, a family obsessed with hygiene and toads, a fiery reverend, a carnival owner who kidnaps women into marriage, and a xenophobic couple who run a local shop for local people."
The Secret Circle,"Drama, Fantasy, Horror",7.3,"16-year-old Cassie moves from California to live with her grandmother in Chance Harbor, Washington, and falls in love with a mysterious boy named Adam. But, when she enrolls in high school there, she realizes that he, she and all the other elite students at the school are witches. She befriends their leader, Diana, but soon discovers that Adam and Diana are dating, which leads to drama."
Kommissar Rex,"Action, Crime, Mystery",7.1,A recently-divorced cop adopts a police dog who lost his former companion; together they solve crimes in and around Vienna.
RuPaul's Drag Race All Stars,"Game-Show, Reality-TV",8.5,New show will serve up a new twist on the mega-hit RuPaul's Drag Race as it pits queens from previous seasons in a wig-to-wig drag battle royale.
Keeping Faith,"Drama, Mystery, Thriller",7.1,"Faith, a small-town Welsh lawyer, is forced to cut short her extended maternity leave when her husband and business partner, Evan, goes missing. As the truth of his actions surface, Faith must fight to protect her family and her sanity."
Life with Derek,"Comedy, Drama, Family",7.3,"A teenage girl whose mother remarries moves into her stepfather's house with her sister and mother and meets her new stepsister and two stepbrothers, one of whom is Derek. She must also change schools and make new friends as she navigates her newly-blended family."
30 for 30,"Documentary, Biography, History",8.8,"ESPN Films' 30 for 30 is an unprecedented documentary series featuring today's finest storytellers from inside and outside of the sports world. What started as a celebration of ESPN's 30th anniversary has come to life as an eclectic and fascinating collection of passionate films about sports and culture. Individually, each of the films in this series is meant to tell an intimate, compelling story that stands on its own and brings to life the filmmaker's vision. Collectively, however, these creatively different films weave together a diverse tapestry of what sports has meant to culture. Ultimately, 30 For 30 strives to sit the viewer down and tell a story, employing many sources but giving a distinctive point of view, marshaling words and images to serve that particular perspective. In a sports universe of competing voices, these films offer a single, compelling one."
Monsters at Work,"Animation, Adventure, Comedy",7.0,"Tylor Tuskman had just graduated from Monster's University at the top of his scare class and has been recruited at Monsters Inc. as a scarer. However, the day before he started, Waternoose was canned. With Mike and Sully now in charge, the whole corporation is transitioning to a joke company. Tylor now needs to figure out how to become a jokester."
The Lucy Show,Comedy,7.2,"After her husband's death, Lucy Carmichael and her recently-divorced best friend Vivian Bagley move into a house together with their children. The series follows the adventures of the widow Lucy as she grapples with the comic complications of life on her own, with her income being controlled by impatient, grumpy banker Mr. Mooney."
Beastars,"Animation, Crime, Drama",7.7,"The story takes place in a world of modern, civilized, anthropomorphic animals with a cultural divide between the carnivores and herbivores. The series takes its name from the in-universe rank of Beastar, an individual of great talent, service, and notoriety. Legoshi, a large gray wolf, is a timid and quiet student of Cherryton Academy where he lives in a dorm with several other carnivorous students including his outgoing Labrador friend, Jack. As a member of the school's drama club, Legoshi works as a stagehand and supports the actors of the club headed by the star pupil Louis, a red deer. Out of nowhere, Tem the alpaca is brutally murdered and devoured in the night setting a wave of unease and distrust between the herbivore and carnivore students. At the same time, Legoshi has a fateful encounter with Haru, a small dwarf rabbit, and begins developing complex feelings for her."
